rankmodel_cal	1.685150	binned log-shift calibration of rankmodel; holdout 1.770269->1.685607
twdeep_cal	1.670018	binned log-shift calibration of twdeep; holdout 1.692888->1.670449
c_twlog_s42_cal	1.671716	binned log-shift calibration of c_twlog_s42; holdout 1.694669->1.672297
c_dirlgb_s42_cal	1.670088	binned log-shift calibration of c_dirlgb_s42; holdout 1.695215->1.670551
twl_seqoof_cal	1.670143	binned log-shift calibration of twl_seqoof; holdout 1.693877->1.670558
febspec_cal	1.810822	binned log-shift calibration of febspec; holdout 1.823508->1.808295
whale_final_cal	1.670399	binned log-shift calibration of whale_final; holdout 1.671708->1.671239
blend_cal	1.666791	NNLS calibrated-clean OOF: {'mlpziln_cal': 0.122, 'channel2_cal': 0.012, 'countaov_cal': 0.074, 'c_ts2_s42_cal': 0.246, 'twl_v7_cal': 0.055, 'seq2tr_f_cal': 0.07, 'fusion_f_cal': 0.316, 'hmmsim_cal': 0.028, 'behavonly_cal': 0.08}
bagged_tiny_sanity	1.695864	SANITY tiny 2 bags pool4 60 trees
bagged_pre24	1.683916	PRELIM light 2-thread: bagged 3x250k pool24, no direct control yet
bagged_pre_direct14	1.693684	PRELIM paired control: standard stacked 14 anchors 3.5M rows, 203 feats, 1500t cap, seed42
bagged_pre24_n1	1.689830	PRELIM single bag (= bag0 of bagged_pre24) for calibrated N-scaling
bagged_pre14	1.690667	PRELIM mechanism arm: bagged 3x250k on the SAME 14 slices as the standard model
gls_tiny	1.717786	TINY sanity 1 anchor 40 trees; base=1.719079 d_raw=-0.001294; cal_holdout=1.680209
gls_smoke	1.702950	SMOKE 2 anchors 400 trees MSE-on-log + GLS weights vs identical unweighted; base=1.701131 d_raw=+0.001819; cal gls=1.674517 base=1.673527 d_cal=+0.000990
pseudo_base	1.696564	pseudo teacher=none w=0.0 sched(real50/mix50) 3sl 400t gap30; cal_holdout=1.674008
gls_tw_smoke	1.699890	SMOKE 2 anchors 400 trees champion tweedie-on-log + GLS weights vs identical unweighted; base=1.697098 d_raw=+0.002792; cal_holdout=1.672388
c_ts2_s7	1.692363	lgb/two_stage
gls_rev_smoke	1.695607	SMOKE MIRROR: w = v^+0.5 (upweight the UNCERTAIN rows) on champion tweedie; tests whether the unweighted metric wants capacity where the error lives; base=1.697098 d_raw=-0.001491; cal_holdout=1.680209
ps_sanity4	1.818017	pseudo teacher=none w=0.0 sched(real10/mix10) 1sl 20t gap30; cal_holdout=1.679613
c_ts2_avg	1.692359	seed-avg of 5: ['c_ts2_s42', 'c_ts2_s1337', 'c_ts2_s7', 'c_ts2_s2024', 'c_ts2_s555']; лучший одиночный 1.691946
fusion_avg	1.692869	seed-avg of 2: ['fusion_f', 'fusion_s7']; лучший одиночный 1.685104
c_ts2_avg_cal	1.668111	binned log-shift calibration of c_ts2_avg; cal_holdout=1.671696
gls_tiny2_pw-0.5	1.720172	TINY full-path validation of the multi-arm sweep incl. retrain+test; pw=-0.5 it=40; base=1.719079 d_raw=+0.001092; cal arm=1.676176 base=1.676297 d_cal=-0.000121
gls_tiny2_pw1	1.717786	TINY full-path validation of the multi-arm sweep incl. retrain+test; pw=1 it=40; base=1.719079 d_raw=-0.001294; cal_holdout=1.672142
mlpziln_b	1.676116	ziln-mlp 512,256 bce_w1.0 do0.15 lr0.001 bs8192 gap30 seeds=2024,555,99 14anch ep=[1, 9, 8]
